Offer details,FaceValue,Quantities For Offer Redemption,Product
Save $1.00 on any ONE (1) Gardein™ Frozen Item,$1.00,"['ONE', '1']","['Gardein', 'Frozen Item']"
"Save $1.00 ONE Gain Flings 12 ct TO 26 ct OR Gain Liquid Laundry Detergent (Includes Gain Botanicals and Gain Essential Oils) OR Gain Powder Laundry Detergent (excludes Gain Ultra Flings, Gain Fabric Enhancers, Gain Fireworks, Gain Flings 9 ct and trial/travel size).",$1.00,"['12', '26', '9']","['Gain Essential Oils', 'Gain Powder', 'Ultra Flings', 'Gain Fireworks']"
Save $0.50 on any ONE (1) pack of Energizer® Batteries,$0.50,"['ONE', '1']",['Energizer']
"SAVE $2.00 on TWO (2) Purina® Beggin®, Busy® or DentaLife® Dog Treats or Chews, any size, any variety",$2.00,"['TWO', '2']","['Purina', 'Beggin', 'DentaLife', 'Chews']"
"Save $0.50 on any one (1) Pine-Sol® product, 40oz+",$0.50,"['one', '1', '40oz+']",['Pine-Sol']
SAVE $1.00 ON ONE when you buy ONE PACKAGE any flavor/variety Cascadian Farm™ Cereal or Granola,$1.00,['ONE'],['Cascadian Farm™ Cereal']
SAVE $1.25 on any ONE (1) crunchy Crunchmaster® Crackers or Snacks,$1.25,"['ONE', '1']",[]
Save $2.00 ONE Dreft Newborn Laundry Detergent OR Dreft Active Baby Laundry Detergent OR Dreft Pure Gentleness Laundry Detergent (excludes trial/travel size).,$2.00,[],[]
$1.00 OFF any THREE (3) Happy Baby Organics &amp; Happy Tot Organics pouches,$1.00,"['THREE', '3']",['Happy Tot Organics']
Save $1.00 on any ONE (1) Udi's® Frozen Item,$1.00,['ONE'],['Frozen Item']
"Save $1.00 ONE Downy Liquid Fabric Conditioner 48ld to 60ld (Includes Downy Odor Protect 32oz OR Downy Wrinkle Guard 25oz OR Downy Nature Blends 44 oz) OR Bounce/Downy Sheets 70ct to 120ct(Includes Bounce/Downy Wrinkle Guard 40ct to 60ct) OR In Wash Scent Boosters 5.7oz (includes Downy Unstopables, Fresh Protect, Odor Protect, and Infusions) OR Bounce Rapid Touch-up 3 in 1 Spray OR Downy Wrinkle Releaser Spray (excludes Downy Libre Enjuague and trial/travel size)",$1.00,"['32', '25', '44', '5.7', '3']","['Downy Wrinkle Guard', 'Downy Nature Blends', 'Bounce/Downy Wrinkle Guard', 'Downy Unstopables', 'Odor Protect', 'Downy Libre Enjuague']"
"Save $1.00 ONE Gain Liquid Fabric Softener 48 ld or larger (includes Gain Botanicals) OR Gain Fireworks In Wash Scent Boosters 5.7 oz or larger OR Gain Dryer Sheets 105 ct or larger (excludes Gain Flings, Gain Detergent and trial/travel size).",$1.00,"['48', '5.7', '105']","['Gain Botanicals', 'Gain Fireworks', 'Gain Dryer', 'Flings', 'Gain Detergent']"
"$1.00 OFF on any ONE (1) Tillamook® Ice Cream Product, 56 oz.",$1.00,"['ONE', '1', '56']",[]
"Save $1.00 on Any ONE (1) BENADRYL® 20ct, 24ct or 4oz product (excludes topical, trial &amp; travel sizes)",$1.00,"['ONE', '1', '4']",['BENADRYL']
"Save $1.00 ONE Oral-B Glide Manual Floss, Floss Picks, Interdental Brush OR Interdental Picks (excludes trial/travel size).",$1.00,['ONE'],['Floss Picks']
"$1.00 OFF TWO (2) Atkins® Bars, Shakes or Treats",$1.00,"['TWO', '2']",[]
Save $1.00 ONE Prilosec OTC Product.,$1.00,['ONE'],[]
"$0.75 OFF any ONE (1) Lily’s Chocolate Bar, Chocolate Candy or Baking Chips",$0.75,['ONE'],[]
"Save $1.00 ONE Tide Simply Laundry Detergent 50 oz or larger OR ERA Laundry Detergent 75 oz or larger (excludes Tide Detergent, Tide PODS, Tide Simply PODS, and trial/travel size).",$1.00,"['ONE', '50', '75']","['Tide Detergent', 'Tide PODS', 'Tide Simply PODS']"
Save $3.00 ONE Venus OR Daisy Disposable 2 ct or larger (excludes Daisy 2 ct).,$3.00,[],"['Venus', 'Daisy Disposable 2', 'Daisy 2']"
"Save $2.00 ONE Tampax Pearl, Radiant OR PURE Tampons (14 ct or higher).",$2.00,['14'],[]
"Save $4.00 when you buy ONE (1) Adult ZYRTEC® product, any variety (24-45ct). Excludes trial &amp; travel sizes",$4.00,['1'],['Adult ZYRTEC']
"Save $2.00 ONE Always Radiant, Infinity, PURE, Pure Cotton, Ultra, OR Maxi Pads 10 ct OR higher (excludes Always Liners and Always Discreet).",$2.00,['ONE'],"['Ultra', 'Maxi Pads', 'Liners', 'Always Discreet']"
"SAVE 55¢ on any ONE (1) OFF!® Product&nbsp;(Excludes Club Packs, Twin Packs, 2 oz. and 2.5oz. OFF!® Products)",55¢,"['55¢', 'ONE', '1', '2', '2.5']","['Club Packs', 'Twin Packs']"
"SAVE $1.50 on any ONE (1) Glade® 3-Wick Candles, Twin Pack 3.4oz Candles, PIugIn® Scented Oil Refill Pack, or Large Automatic Refills Only (Excludes 1 Count 3.4oz Candles and PlugIns® Scented Oil Warmer Only packs)",$1.50,"['ONE', '1']","['Glade', 'Candles', 'Candles', 'PlugIns']"
$4.00 OFF on any ONE (1) 12ct. multipack SHEBA® PERFECT PORTIONS™ Premium Cat Food,$4.00,['ONE'],['SHEBA']
"Save $3.00 ONE Crest Gum Detoxify, Gum &amp; Enamel Repair, OR Gum &amp; Sensitivity 3.0 oz or larger (excludes all other variants, kids, and trial/travel size).",$3.00,['ONE'],"['Gum &amp', 'Enamel Repair', 'Gum &amp']"
"Get $2.00 off any ONE (1) Bag of PULL-UPS® Training Pants (27 ct. or lower, not valid on trial packs)",$2.00,['27'],"['PULL-UPS', 'Training Pants']"
"$4.00 OFF on ONE (1) Allegra® Allergy 24ct or larger, Allegra-D®, or Children's Allegra® Product",$4.00,"['ONE', '1']",['Allegra-D']
"Save $2.00 ONE Gain Flings 30 ct or larger OR Gain Ultra Flings 18 ct or larger (excludes Gain Liquid/Powder Laundry Detergent, Gain Fabric Enhancers, Gain Fireworks, Gain Flings 9 ct and trial/travel size).",$2.00,"['30', '18']",[]
"Save $2.00 ONE Tide Purclean Laundry Detergent (excludes Studio by Tide Laundry Detergent, Tide Detergent, Tide PODS, Tide Rescue, Tide Simply Laundry Detergent, Tide Simply PODS, Tide Detergent 10 oz and trial/travel size).",$2.00,['ONE'],"['Tide Purclean Laundry Detergent', 'Studio', 'Tide Laundry Detergent', 'Tide Detergent', 'Tide PODS', 'Tide Rescue', 'Tide Simply Laundry Detergent', 'Tide Simply PODS', 'Tide Detergent 10']"
"$2.00 OFF ONE (1) Starbucks® K-Cup® Coffee with Essential Vitamins, Coffee with Golden Turmeric, or Coffee with 2X Caffeine Product",$2.00,"['1', '2X']","['Starbucks', 'Coffee']"
"Save $5.00 off any ONE (1) Claritin® up to 55ct, excludes 60ct or larger",$5.00,"['ONE', '1']",['Claritin']
Save $2.00 ONE Dreft Blissfuls In Wash Scent Boosters 8.6 oz or larger (excludes trial/travel size).,$2.00,[],[]
Save $3.00 ONE (1) Nexium® 24HR 28ct or larger,$3.00,['1'],[]
Save $2.00 on any ONE (1) Aleve® or Aleve®PM product 40ct. or larger (excludes Aleve-D®),$2.00,['ONE'],"['Aleve', 'Aleve-D']"
"Save $2.00 ONE Always DISCREET Incontinence Product (excludes other Always Products, Always Discreet Boutique and trial/travel size).",$2.00,['ONE'],"['Always Products', 'Discreet Boutique']"
$1.50 Off any ONE (1) Mighty Spark All-Natural Poultry Patties or Ground Chicken,$1.50,[],[]
Save $1.50 on any ONE (1) package of HUGGIES® LITTLE SWIMMERS® Disposable Swimpants (10 ct. or larger),$1.50,"['ONE', '1', '10']","['HUGGIES', 'Disposable Swimpants']"
"Save $2.00 ONE Tide Antibacterial Spray (excludes Tide Stain Pen, Tide Rescue, Tide Laundry Detergent, Tide PODS and trial/travel size).",$2.00,['ONE'],"['Tide Stain Pen', 'Tide Rescue', 'Tide Laundry Detergent', 'Tide PODS']"
"Save $3.00 on any ONE (1) package of POISE® Ultra Thin Pads or Active Collection® Pads or Liners (Reg Pack only) (Not valid on other Poise® Pads, Liners or Impressa® Products)",$3.00,"['ONE', '1']","['POISE', 'Pads or Liners (Reg Pack', 'Poise', 'Pads', 'Impressa']"
Get $3.00 off any ONE (1) Box of PULL-UPS® Training Pants (40 ct. or higher),$3.00,"['ONE', '1', '40']","['Box', 'PULL-UPS', 'Training Pants']"
Save $2.00 ONE Venus Razor (excludes disposables).,$2.00,[],['Venus Razor']
"Save $1.00 ONE Tide Simply PODS 20 ct or larger (excludes Tide detergent, Tide Simply Detergent, Tide PODS, and trial/travel size)",$1.00,"['ONE', '20']","['Tide', 'Tide Simply Detergent', 'Tide PODS']"
Save $8.00 on ONE (1) Claritin® Tabs or Liqui-Gels® 60ct or larger,$8.00,[],"['Claritin', 'Tabs', 'Liqui-Gels']"
SAVE $3.00 ONLY On Colgate® Optic White® Renewal Toothpaste (3.0 oz. or larger),$3.00,['3.0'],['Colgate']
SAVE $0.75 on ONE (1) Sabra® Dark Chocolate Dessert Dip &amp; Spread,$0.75,['1'],[]
$1.50 OFF on ONE (1) pint of N!ck's Ice Cream,$1.50,"['ONE', '1']","['N!ck', 'Ice Cream']"
Save $3.00 off any ONE (1) Children's Claritin® Syrup 4oz or larger,$3.00,"['ONE', '4']",[]
SAVE 55¢ on any ONE (1) Raid® Essential Oils Product&nbsp;(Excludes Raid® Club Packs and Twin Packs),55¢,"['55¢', 'ONE', '1']","['Essential Oils', 'Raid®']"
$5.00 OFF on any ONE (1) Osteo Bi-Flex® product (28ct or larger),$5.00,"['ONE', '1']",['Osteo Bi-Flex']
Save $3.00 ONE Always DISCREET Boutique Product (excludes other Always Products and trial/travel size).,$3.00,['ONE'],['Always Products']
SAVE $0.75 on ONE (1) Sabra® Veggie Dip,$0.75,['1'],['Veggie Dip']
SAVE $3.00 on any ONE (1) Florastor product,$3.00,"['ONE', '1']",[]
$1.00 OFF on any ONE (1) Reser's Deli Sides 12-14oz Item,$1.00,"['ONE', '1']",['Reser']
"Save $5.00 on ONE (1) NUTRO™ WHOLESOME ESSENTIALS™ Dry Cat Food bag, any size",$5.00,"['1', '™']",[]
Save $5.00 ONE Oral-B Vitality OR Pro 500 Rechargeable Electric Toothbrush.,$5.00,['ONE'],[]
"Save $4.00 ONE Olay Facial Moisturizer (excludes Serums, Complete, Active Hydrating and trial/travel size).",$4.00,['ONE'],"['Olay Facial Moisturizer', 'Serums', 'Complete']"
Save $1.00 ONE Burts Bees Adult Toothpaste (excludes trial/travel size).,$1.00,['ONE'],['Adult Toothpaste']
Save $4.00 ONE Venus Blade Refill (4 ct or larger).,$4.00,"['ONE', '4']",['Venus Blade Refill']
"Save $1.00 TWO Old Spice Anti-Perspirant/Deodorant, Body Wash OR Bar Soap (excludes twin packs, High Endurance, Body Spray and Invisible Spray and trial/travel size).",$1.00,['TWO'],"['Spice Anti-Perspirant/Deodorant', 'Bar Soap', 'High Endurance']"
Save $2.00 ONE Olay Facial Cleanser (excludes trial/travel size).,$2.00,['ONE'],[]
Save $0.75 ONE Burts Bees Kids Toothpaste (excludes trial/travel size).,$0.75,['ONE'],[]
Save $4.00 ONE Gillette Blade Refill (4 ct or larger).,$4.00,['4'],['Gillette Blade Refill']
Save $3.00 ONE Gillette Disposable 2 ct or larger (excludes Sensor 2 ct and Venus Products).,$3.00,[],"['Gillette Disposable 2', 'Sensor 2 ct and Venus Products']"
"Save $2.00 ONE Gillette Razor (excludes Disposables, Venus Products and trial/travel size).",$2.00,[],['Gillette Razor']
"$5 1 Hot Bar Entree, 2 Sides, 1 Roll",$5,['2'],['1 Hot Bar Entree']
SAVE $1.00 on any TWO (2) Sargento® Natural Cheese Slices,$1.00,"['TWO', '2']",[]
SAVE $0.50 off ONE (1) jar of Pace® Salsa or Picante Sauce,$0.50,"['ONE', '1']","['Pace', 'Salsa']"
FREE SEG MAC & CHEESE when you buy any two (2) SPAM® 12oz products and get TWO (2) FREE SEG MAC &amp; CHEESE (Max. Value $1.50),$1.50),"['two', '2', '12', 'TWO', '2']","['FREE SEG MAC & CHEESE', 'SPAM', 'FREE SEG MAC &amp', 'CHEESE', 'Max']"
"SAVE $1.00 ONE Gain Flings 12 ct TO 26 ct OR Gain Liquid Laundry Detergent (Includes Gain Botanicals and Gain Essential Oils) OR Gain Powder Laundry Detergent (excludes Gain Ultra Flings, Gain Fabric Enhancers, Gain Fireworks, Gain Flings 9 ct and trial/travel size).",$1.00,"['ONE', '12', '26', '9']","['Gain Essential Oils', 'Gain Powder', 'Ultra Flings', 'Gain Fireworks']"
"SAVE $1.00 ONE Crest Toothpaste 3 oz or more (excludes 4.6 oz Crest Cavity, Regular, Base Baking Soda, Tartar Control/Protection, F&amp;W Pep Gleem, Gum Detoxify and Gum Enamel variants, Whitening Therapy variants, Kids and trial/travel size).",$1.00,"['ONE', '3', '4.6']","['Tartar Control/Protection', 'Pep Gleem', 'Gum Detoxify', 'Gum Enamel']"
"SAVE $2.00 ONE Tide Laundry Detergent (excludes Tide Purclean Laundry Detergent, Studio by Tide Laundry Detergent, Tide PODS, Tide Rescue, Tide Simply Laundry Detergent, Tide Simply PODS, Tide Detergent 10 oz and trial/travel size).",$2.00,['ONE'],"['Tide Purclean Laundry Detergent', 'Tide Laundry Detergent', 'Tide PODS', 'Tide Rescue', 'Tide Simply Laundry Detergent', 'Tide Simply PODS', 'Tide Detergent 10']"
$2.00 OFF any TWO (2) Starbucks® Nitro Cold Brew (9.6 oz can) or Starbucks® Frappucino (13.7 oz bottle) - mix and match,$2.00,"['TWO', '2', '13.7']","['Starbucks', 'Nitro Cold Brew', 'Starbucks']"
"SAVE $1.00 ONE Downy Liquid Fabric Conditioner 48ld to 60ld (Includes Downy Odor Protect 32oz OR Downy Wrinkle Guard 25oz OR Downy Nature Blends 44 oz) OR Bounce/Downy Sheets 70ct to 120ct(Includes Bounce/Downy Wrinkle Guard 40ct to 60ct) OR In Wash Scent Boosters 5.7oz (includes Downy Unstopables, Fresh Protect, Odor Protect, and Infusions) OR Bounce Rapid Touch-up 3 in 1 Spray OR Downy Wrinkle Releaser Spray (excludes Downy Libre Enjuague and trial/travel size)",$1.00,"['32', '25', '44', '5.7', '3']","['Downy Wrinkle Guard', 'Downy Nature Blends', 'Bounce/Downy Wrinkle Guard', 'Downy Unstopables', 'Odor Protect', 'Downy Libre Enjuague']"
"SAVE $2.00 ONE Always Radiant, Infinity, PURE, Pure Cotton, Ultra, OR Maxi Pads 10 ct OR higher (excludes Always Liners and Always Discreet).",$2.00,['ONE'],"['Ultra', 'Maxi Pads', 'Liners', 'Always Discreet']"
"SAVE $0.50 ONE Tide Simply Laundry Detergent 34 oz OR 31 oz OR Tide Simply PODS 13 ct OR Downy Liquid Fabric Conditioner 40 ld OR Bounce/Downy Sheets 40 ct TO 60 ct OR In-Wash Scent Boosters 4.3 oz OR ERA Laundry Detergent 50 oz or smaller (includes Downy Unstopables, Fresh Protect, and Odor Protect) (excludes Bounce/Downy Wrinkle Guard Sheets, Downy Libre Enjuague, Gain Fireworks, and trial/travel size).",$0.50,"['ONE', '34', '13', '40', '60', '4.3', '50']","['Laundry Detergent', 'Downy Unstopables', 'Odor Protect', 'Bounce/Downy Wrinkle Guard Sheets', 'Downy Libre Enjuague', 'Fireworks']"
SAVE $0.50 on any ONE (1) pack of Energizer® Batteries,$0.50,"['ONE', '1']",['Energizer']
$0.50 OFF on ONE (1) Frigo® Cheese Heads® 8ct or larger Snack Cheese Product,$0.50,['1'],"['Frigo', 'Cheese Heads', 'Snack Cheese Product']"
"SAVE $1.00 TWO Old Spice Anti-Perspirant/Deodorant, Body Wash OR Bar Soap (excludes twin packs, High Endurance, Body Spray and Invisible Spray and trial/travel size).",$1.00,['TWO'],"['Spice Anti-Perspirant/Deodorant', 'Bar Soap', 'High Endurance']"
"SAVE $2.00 ONE Tide PODS OR Tide Power PODS (excludes Tide Liquid/Powder Laundry Detergent, Tide Simply, Tide Simply PODS, and Tide PODS 9 ct and below, and trial/travel size).",$2.00,['ONE'],"['Tide Liquid/Powder Laundry Detergent', 'Tide', 'Tide Simply PODS', 'Tide PODS 9']"
"SAVE $2.00 ONE Tampax Pearl, Radiant OR PURE Tampons (14 ct or higher).",$2.00,['14'],[]
"SAVE $1.50 on any ONE (1) Glade® 3-Wick Candles, Twin Pack 3.4oz Candles, PIugIn® Scented Oil Refill Pack, or Large Automatic Refills Only (Excludes 1 Count 3.4oz Candles and PlugIns® Scented Oil Warmer Only packs)",$1.50,"['ONE', '1']","['Glade', 'Candles', 'Candles', 'PlugIns']"
$1.00 OFF on any THREE (3) noosa® yoghurts,$1.00,"['THREE', '3']",[]
"SAVE $2.00 ONE Downy Liquid Fabric Conditioner 72 ld or larger (includes Downy Odor Protect 48 oz or larger OR Downy Wrinkle Guard 40 oz or larger OR Downy Nature Blends 67 oz or larger) OR Bounce/Downy Sheets 130 ct or larger (includes Bounce/Downy Wrinkle Guard 80 ct or larger) OR In Wash Scent Boosters 8.6 oz or larger (includes Downy Unstopables, Fresh Protect, Odor Protect, and Infusions) (excludes Downy Libre Enjuague, Gain Fireworks, and trial/travel size).",$2.00,"['72', '48', '40', '130']","['Downy Odor', 'Downy Wrinkle Guard', 'Downy Nature Blends 67', 'Bounce/Downy Sheets', 'Bounce/Downy Wrinkle Guard', 'Downy Unstopables', 'Odor Protect', 'Downy Libre Enjuague', 'Fireworks']"
"SAVE $2.00 on TWO (2) Purina® Beggin®, Busy® or DentaLife® Dog Treats or Chews, any size, any variety",$2.00,"['TWO', '2']","['Purina', 'Beggin', 'DentaLife', 'Chews']"
SAVE $1.00 on any TWO (2) boxes of Life cereal,$1.00,"['TWO', '2']",[]
SAVE $1.25 on any ONE (1) crunchy Crunchmaster® Crackers or Snacks,$1.25,"['ONE', '1']",[]
$1.00 OFF any THREE (3) Happy Baby Organics &amp; Happy Tot Organics pouches,$1.00,"['THREE', '3']",['Happy Tot Organics']
"SAVE $1.00 ONE Gain Liquid Fabric Softener 48 ld or larger (includes Gain Botanicals) OR Gain Fireworks In Wash Scent Boosters 5.7 oz or larger OR Gain Dryer Sheets 105 ct or larger (excludes Gain Flings, Gain Detergent and trial/travel size).",$1.00,"['48', '5.7', '105']","['Gain Botanicals', 'Gain Fireworks', 'Gain Dryer', 'Flings', 'Gain Detergent']"
"SAVE $0.50 on any one (1) Pine-Sol® product, 40oz+",$0.50,"['one', '1', '40oz+']",['Pine-Sol']
"$0.25 OFF ONE (1) package of Keebler® Caramel Nut Dreams, Coconut Dreams, Strawberry Shortcake, or Hot Fudge Sundae cookies",$0.25,['1'],"['Keebler', 'Caramel Nut Dreams', 'Coconut Dreams', 'Strawberry Shortcake', 'Hot Fudge Sundae']"
"SAVE $1.00 ONE Oral-B Glide Manual Floss, Floss Picks, Interdental Brush OR Interdental Picks (excludes trial/travel size).",$1.00,['ONE'],['Floss Picks']
"SAVE $1.00 on Any ONE (1) BENADRYL® 20ct, 24ct or 4oz product (excludes topical, trial &amp; travel sizes)",$1.00,"['ONE', '1', '4']",['BENADRYL']
"GET $2.00 off any ONE (1) Bag of PULL-UPS® Training Pants (27 ct. or lower, not valid on trial packs)",$2.00,"['ONE', '27']","['PULL-UPS', 'Training Pants']"
$1.00 OFF on any ONE (1) Reser's Deli Sides 12-14oz Item,$1.00,"['ONE', '1']",['Reser']
SAVE $1.00 on any one (1) El Monterey® Single Serve Meals,$1.00,"['one', '1']",['El Monterey']
"SAVE $2.00 ONE Always DISCREET Incontinence Product (excludes other Always Products, Always Discreet Boutique and trial/travel size).",$2.00,['ONE'],"['Always Products', 'Discreet Boutique']"
SAVE $3.00 ONE Gillette Disposable 2 ct or larger (excludes Sensor 2 ct and Venus Products).,$3.00,['ONE'],"['Gillette Disposable 2', 'Sensor 2 ct and Venus Products']"
"SAVE $0.50 On any ONE (1) GOOD FOODS Guacamole, Plant-based Dip, Dairy Dip, or Salsa",$0.50,"['ONE', '1']","['Dairy Dip', 'Salsa']"
SAVE $2.00 on any ONE (1) Aleve® or Aleve®PM product 40ct. or larger (excludes Aleve-D®),$2.00,['ONE'],"['Aleve', 'Aleve-D']"
"SAVE $1.00 on any ONE (1) Cheez-It® Baked Snack Crackers Caddy Pack (20 ct. or Larger, Any Flavor)",$1.00,"['ONE', '20']",['Larger']
"SAVE $1.00 ONE Tide Simply Laundry Detergent 50 oz or larger OR ERA Laundry Detergent 75 oz or larger (excludes Tide Detergent, Tide PODS, Tide Simply PODS, and trial/travel size).",$1.00,"['ONE', '50', '75']","['Tide Detergent', 'Tide PODS', 'Tide Simply PODS']"
"SAVE 55¢ on any ONE (1) OFF!® Product(Excludes Club Packs, Twin Packs, 2 oz. and 2.5oz. OFF!® Products)",55¢,"['55¢', 'ONE', '1', '2', '2.5']",['Twin Packs']
SAVE $3.00 ONE Venus OR Daisy Disposable 2 ct or larger (excludes Daisy 2 ct).,$3.00,['ONE'],"['Venus', 'Daisy Disposable 2', 'Daisy 2']"
SAVE $2.00 ONE Olay Facial Cleanser (excludes trial/travel size).,$2.00,['ONE'],[]
SAVE $1.00 ONE Prilosec OTC Product.,$1.00,['ONE'],[]
SAVE $4.00 ONE Gillette Blade Refill (4 ct or larger).,$4.00,['4'],['Gillette Blade Refill']
"SAVE $2.00 ONE Gain Flings 30 ct or larger OR Gain Ultra Flings 18 ct or larger (excludes Gain Liquid/Powder Laundry Detergent, Gain Fabric Enhancers, Gain Fireworks, Gain Flings 9 ct and trial/travel size).",$2.00,"['30', '18']",[]
GET $3.00 off any ONE (1) Box of PULL-UPS® Training Pants (40 ct. or higher),$3.00,"['ONE', '1', '40']","['Box', 'PULL-UPS', 'Training Pants']"
"SAVE $3.00 ONE Crest Gum Detoxify, Gum &amp; Enamel Repair, OR Gum &amp; Sensitivity 3.0 oz or larger (excludes all other variants, kids, and trial/travel size).",$3.00,['ONE'],"['Gum &amp', 'Enamel Repair', 'Gum &amp']"
"SAVE $2.00 ONE Gillette Razor (excludes Disposables, Venus Products and trial/travel size).",$2.00,['ONE'],['Gillette Razor']
"$0.75 OFF any ONE (1) Lily’s Chocolate Bar, Chocolate Candy or Baking Chips",$0.75,['ONE'],[]
"SAVE $4.00 when you buy ONE (1) Adult ZYRTEC® product, any variety (24-45ct). Excludes trial &amp; travel sizes",$4.00,['1'],['Adult ZYRTEC']
"$4.00 OFF on ONE (1) Allegra® Allergy 24ct or larger, Allegra-D®, or Children's Allegra® Product",$4.00,"['ONE', '1']",['Allegra-D']
SAVE $2.00 ONE Dreft Newborn Laundry Detergent OR Dreft Active Baby Laundry Detergent OR Dreft Pure Gentleness Laundry Detergent (excludes trial/travel size).,$2.00,[],[]
"BUY ONE GET ONE FREE on any ONE (1) bag of Flavors of America by Eight O'Clock®, Any variety 11oz.",,"['Eight', '11']",['Flavors of America']
$4.00 OFF on any ONE (1) 12ct. multipack SHEBA® PERFECT PORTIONS™ Premium Cat Food,$4.00,['ONE'],['SHEBA']
"SAVE $4.00 ONE Olay Facial Moisturizer (excludes Serums, Complete, Active Hydrating and trial/travel size).",$4.00,['ONE'],"['Olay Facial Moisturizer', 'Serums', 'Complete']"
SAVE $2.00 ONE Venus Razor (excludes disposables).,$2.00,['ONE'],['Venus Razor']
"SAVE $5.00 off any ONE (1) Claritin® up to 55ct, excludes 60ct or larger",$5.00,"['ONE', '1']",['Claritin']
SAVE $1.50 on any ONE (1) package of HUGGIES® LITTLE SWIMMERS® Disposable Swimpants (10 ct. or larger),$1.50,"['ONE', '1', '10']","['HUGGIES', 'Disposable Swimpants']"
$5.00 OFF on any ONE (1) Osteo Bi-Flex® product (28ct or larger),$5.00,"['ONE', '1']",['Osteo Bi-Flex']
SAVE $3.00 ONE (1) Nexium® 24HR 28ct or larger,$3.00,"['ONE', '1']",[]
